Company,Product,Label,PeakPerformance,Precision,Power,Technology,IorT,FormFactor,PlotLocation,Hide,Updated,Notes,ReferenceURL,Reference
Achronix,VectorPath S7t-VG6,Achronix,8.60E+13,int8,300,dataflow,inference,Card,SE,,6/12/20,,https://www.eetimes.com/fpga-acceleration-card-delivers-on-bandwidth-speed-and-flexibility/,roos2019fpga
Adapteva,Epiphany-V,Adaptiva,2.05E+12,fp32,29.26,multicore,inference,Chip,SW,,6/9/20,,https://arxiv.org/abs/1610.01832;https://doi.org/10.1109/ACSSC.2014.7094761,olofsson2016epiphany; olofsson2015kickstarting
Aimotive,aiWare3,Aimotive,1.00E+14,int8,25,dataflow,inference,Chip,SW,,6/2/20,,https://aimotive.com/news/content/1223,aimotive2018aiware3
AIStorm,AIStorm,AIStorm,2.50E+12,int8,0.225,dataflow,inference,Chip,SW,,6/9/20,Claim to do some of the math up at the sensor in analog domain. Originally came to the embedded space scene with biometric sensors and processing.,https://www.eetimes.com/startup-accelerates-ai-at-the-sensor/,merritt2019aistorm
Alibaba,Alibaba,Alibaba,3.14E+14,int8,157.126,dataflow,inference,Card,NE,,6/14/20,no peak,https://medium.com/syncedreview/alibabas-new-ai-chip-can-process-nearly-80k-images-per-second-63412dec22a3,peng2019alibaba
AlphaIC,RAP-C,AlphaIC,6.00E+13,int8,40,dataflow,inference,System,SW,Hide,6/2/20,,https://www.alphaics.ai/alphaics-introduces-worlds-most-powerful-ai-platform-alphaedgetm-for-l2-driverless-cars-and-autonomous-systems/,trivedi2019alphaics
AlphaIC,RAP-E,AlphaIC,3.00E+13,int8,3,dataflow,inference,Chip,NW,,6/13/20,,https://www.eenewsanalog.com/news/indo-us-startup-preps-agent-based-ai-processor/page/0/1,clarke2018indo
Amazon,Inferentia,Inferentia,1.28E+14,int8,200,dataflow,inference,Card,N,,6/14/20,,https://perspectives.mvdirona.com/2018/11/aws-inferentia-machine-learning-processor/;https://www.cloudmanagementinsider.com/amazon-inferentia-for-machine-learning-and-artificial-intelligence/,hamilton2018aws;cloud2020deep
AMD,Radeon Instinct MI6,AMD-MI8,8.19E+12,fp16,150,GPU,inference,Card,SE,,6/14/20,,https://blog.exxactcorp.com/taking-deeper-look-amd-radeon-instinct-gpus-deep-learning/,exxactcorp2017taking
AMD,Radeon Instinct MI60,AMD-MI60,2.95E+13,fp16,300,GPU,training,Card,SE,,6/9/20,,https://www.anandtech.com/show/13562/amd-announces-radeon-instinct-mi60-mi50-accelerators-powered-by-7nm-vega,smith2018amd
ARM,Ethos N77,Ethos,4.10E+12,int8,0.8,dataflow,inference,Chip,NW,,6/13/20,,https://fuse.wikichip.org/news/3282/arm-ethos-is-for-ubiquitous-ai-at-the-edge/,schor2020arm
Baidu,Baidu Kunlun 818-300,Baidu,2.60E+14,fp16.32,100,dataflow,training,Chip,SE,,6/9/20,Baidu claims the FLOPs and power numbers in the zdnet article. The chip has been deployed in Baidu data centers as FPGAs and are being converted to ASICs. No release data has been mentioned in the press. ,https://www.eetimes.com/baidu-accelerator-rises-in-ai/;https://www.zdnet.com/article/baidu-creates-kunlun-silicon-for-ai/,merritt2018baidu;duckett2018baidu
Bitmain,BM1880,Bitmain,1.00E+12,int8,2.5,dataflow,inference,Chip,NE,,6/13/20,,https://www.linleygroup.com/newsletters/newsletter_detail.php?num=5975&year=2019&tag=3,wheeler2019bitmain
Cambricon,MLU100,Cambricon,1.28E+14,int8,80,dataflow,inference,Card,NW,,6/2/20,,https://www.chinamoneynetwork.com/2018/05/04/chinese-ai-chip-maker-cambricon-unveils-new-cloud-based-smart-chip;https://www.anandtech.com/show/12815/cambricon-makers-of-huaweis-kirin-npu-ip-build-a-big-ai-chip-and-pcie-card,wu2018chinese;cutress2018cambricon
Cambricon,MLU100,Cambricon,6.40E+13,fp16,80,dataflow,training,Card,S,,6/2/20,,https://www.chinamoneynetwork.com/2018/05/04/chinese-ai-chip-maker-cambricon-unveils-new-cloud-based-smart-chip;https://www.anandtech.com/show/12815/cambricon-makers-of-huaweis-kirin-npu-ip-build-a-big-ai-chip-and-pcie-card,wu2018chinese;cutress2018cambricon
Canaan,Kendrite K210,Kendryte,2.30E+11,int8,0.3,CPU,inference,Chip,NW,,6/9/20,,https://www.linleygroup.com/newsletters/newsletter_detail.php?num=5992,gwennap2019kendryte
Cerebras,CS-1,Cerebras,1.64E+15,fp16,15000,dataflow,training,Chip,SW,,6/11/20,Estimated peak performance; see paper,https://www.cerebras.net/introducing-the-cerebras-cs-1-the-industrys-fastest-artificial-intelligence-computer/,hock2019introducing
Cornami,Cornami,Cornami,4.19E+14,fp16,30,dataflow,training,Chip,NW,,6/14/20,no peak,https://cornami.com/1416-2/,cornami2020cornami
Flex Logix,InferX X1,FlexLogix,7.64E+12,int8,13.5,dataflow,inference,Chip,N,,6/12/20,,https://flex-logix.com/wp-content/uploads/2020/04/Accelerator-Evaluation-on-Real-Edge-Inference-Applications-04_03_2020.pdf,mehta2020performance
Google,TPU Edge,TPUedge,4.00E+12,int8,2,dataflow,inference,System,SE,,6/9/20,,https://aiyprojects.withgoogle.com/edge-tpu,tpu2019edge
Google,TPU1,TPU1,2.30E+13,int16,40,dataflow,inference,Chip,SE,,6/9/20,,https://www.nextplatform.com/2018/05/10/tearing-apart-googles-tpu-3-0-ai-coprocessor/;https://www.nextplatform.com/2018/05/10/tearing-apart-googles-tpu-3-0-ai-coprocessor/,jouppi2020domain;teich2018tearing
Google,TPU2,TPU2,4.50E+13,fp16.32,250,dataflow,training,Chip,S,,6/9/20,,https://www.nextplatform.com/2018/05/10/tearing-apart-googles-tpu-3-0-ai-coprocessor/;https://www.nextplatform.com/2018/05/10/tearing-apart-googles-tpu-3-0-ai-coprocessor/,jouppi2020domain;teich2018tearing
Google,TPU3,TPU3,1.05E+14,fp16.32,200,dataflow,training,Chip,S,,6/9/20,,https://www.nextplatform.com/2018/05/10/tearing-apart-googles-tpu-3-0-ai-coprocessor/;https://www.nextplatform.com/2018/05/10/tearing-apart-googles-tpu-3-0-ai-coprocessor/,jouppi2020domain;teich2018tearing
GraphCore,C2,GraphCoreC2,2.50E+14,fp16.32,300,dataflow,training,Card,E,,6/14/20,,https://www.linleygroup.com/newsletters/newsletter_detail.php?num=5992;https://www.graphcore.ai/posts/preliminary-ipu-benchmarks-providing-previously-unseen-performance-for-a-range-of-machine-learning-applications,gwennap2020groq;lacey2017preliminary
GraphCore,C2,GraphCoreNode,1.60E+15,fp16.32,2400,dataflow,training,System,SW,,6/14/20,,https://www.graphcore.ai/hubfs/Lead%20gen%20assets/DSS8440%20IPU%20Server%20White%20Paper_2020.pdf,graphcore2020dell
GreenWaves,GAP9,GreenWaves,1.06E+11,int8,49.764,dataflow,inference,Chip,S,,6/12/20,,https://greenwaves-technologies.com/gap8_gap9/;https://www.eejournal.com/article/gap9-for-ml-at-the-edge/,greenwaves2020gap;turley2020gap9
Groq,Tensor Streaming Processor,Groq,8.20E+14,int8,300,dataflow,inference,Card,NW,,5/19/20,,http://groq.com/wp-content/uploads/2020/04/Groq-Rocks-NNs-Linley-Group-MPR-2020Jan06.pdf;https://doi.org/10.1109/ISCA45697.2020.00023,gwennap2020groq;abts2020think
Groq,Tensor Streaming Processor,Groq,2.05E+14,fp16,300,dataflow,training,Card,E,,5/19/20,,http://groq.com/wp-content/uploads/2020/04/Groq-Rocks-NNs-Linley-Group-MPR-2020Jan06.pdf;https://doi.org/10.1109/ISCA45697.2020.00023,gwennap2020groq;abts2020think
Gyrfalcon,Gyrfalcon,Gyrfalcon,2.80E+12,int8,0.224,PIM,inference,Chip,N,,6/14/20,,https://www.eetimes.com/gyrfalcon-unveils-fourth-ai-accelerator-chip/,ward2019gyrfalcon
Gyrfalcon,Gyrfalcon,GyrfalconServer,2.15E+15,int8,900,PIM,inference,System,NW,,6/14/20,,https://www.hpcwire.com/off-the-wire/solidrun-gyrfalcon-develop-edge-optimized-ai-inference-server/,hpcwire2020solidrun
Habana,Gaudi,Gaudi,5.00E+13,fp16,150,dataflow,training,Card,SW,,6/14/20,,https://habana.ai/wp-content/uploads/2019/06/Habana-Offers-Gaudi-for-AI-Training.pdf;https://doi.org/10.1109/MM.2020.2975185,gwennap2019habanagaudi;medina2020habana
Habana,Goya HL-1000,Goya,1.00E+14,int8,150,dataflow,inference,Card,W,,6/14/20,,https://habana.ai/wp-content/uploads/2019/06/Habana-Offers-Gaudi-for-AI-Training.pdf;https://doi.org/10.1109/MM.2020.2975185,gwennap2019habanagoya;medina2020habana
Hailo,Hailo,Hailo-8,2.69E+12,int8,9.3,dataflow,inference,Chip,SE,,6/14/20,no peak,https://www.eetimes.com/details-of-hailo-ai-edge-accelerator-emerge/,ward2019details
Horizon Robotics,Journey2,Journey2,4.00E+12,int8,2,dataflow,inference,Chip,N,,6/13/20,,https://en.horizon.ai/product/journey,horizon2020journey
Huawei HiSilicon,Ascend 310,Ascend-310,1.60E+13,int8,8,dataflow,inference,Chip,SW,,5/19/20,,https://e.huawei.com/us/products/cloud-computing-dc/atlas/ascend-310,huawei2020ascend310
Huawei HiSilicon,Ascend 310,Ascend-310,8.00E+12,fp16,8,dataflow,training,Chip,SW,,5/19/20,,https://e.huawei.com/us/products/cloud-computing-dc/atlas/ascend-310,huawei2020ascend310
Huawei HiSilicon,Ascend 910,Ascend-910,5.12E+14,int8,310,dataflow,inference,Chip,NW,Hide,5/19/20,,https://e.huawei.com/us/products/cloud-computing-dc/atlas/ascend-910,huawei2020ascend910
Huawei HiSilicon,Ascend 910,Ascend-910,5.12E+14,fp16,310,dataflow,training,Chip,NW,,5/19/20,,https://e.huawei.com/us/products/cloud-computing-dc/atlas/ascend-910,huawei2020ascend910
IBM,TrueNorth,TrueNorth,1.89E+12,int8,0.5,neuromorphic,inference,System,SW,,6/9/20,,https://www.top500.org/news/ibm-finds-killer-app-for-truenorth-neuromorphic-chip/;https://doi.org/10.1073/pnas.1604850113;https://doi.org/10.1109/TCAD.2015.2474396,feldman2016ibm;esser2016convolutional;akopyan2015truenorth
IBM,TrueNorth,TrueNorthSys,1.89E+12,int8,44,neuromorphic,inference,System,SE,,6/9/20,,https://www.top500.org/news/ibm-finds-killer-app-for-truenorth-neuromorphic-chip/;https://doi.org/10.1073/pnas.1604850113;https://doi.org/10.1109/TCAD.2015.2474396,feldman2016ibm;esser2016convolutional;akopyan2015truenorth
